1,Frozen,"Animation,Adventure,Comedy"
2,Moana,"Animation,Adventure,Comedy"
3,The Lorax,"Animation,Adventure,Comedy"
4,Beauty and the Beast,"Family,Fantasy,Musical"
5,Trolls,"Animation,Adventure,Comedy"
6,La La Land,"Comedy,Drama,Music"
7,Les Misérables,"Drama,Musical,Romance"
8,Rio,"Animation,Adventure,Comedy"
9,Rio 2,"Animation,Adventure,Comedy"
10,Into the Woods,"Adventure,Comedy,Drama"
11,The Muppets,"Adventure,Comedy,Family"
12,Annie,"Comedy,Drama,Family"
13,Happy Feet Two,"Animation,Comedy,Family"
14,Muppets Most Wanted,"Adventure,Comedy,Crime"
15,Jersey Boys,"Biography,Drama,Music"
16,Rock of Ages,"Comedy,Drama,Musical"
17,Winnie the Pooh,"Animation,Adventure,Comedy"
18,Strange Magic,"Animation,Adventure,Comedy"
19,Legends of Oz: Dorothy's Return,"Animation,Adventure,Family"
20,Black Nativity,"Drama,Family,Music"
21,Chennai Express,"Action,Comedy,Musical"
22,Prem Ratan Dhan Payo,"Action,Drama,Musical"
23,Ae Dil Hai Mushkil,"Drama,Musical,Romance"
24,Yeh Jawaani Hai Deewani,"Comedy,Drama,Musical"
25,Chi-Raq,"Comedy,Crime,Drama"
26,Goliyon Ki Rasleela Ram-Leela,"Drama,Musical,Romance"
27,Dabangg 2,"Action,Comedy,Drama"
28,The Sapphires,"Biography,Comedy,Drama"
29,The Oogieloves in the Big Balloon Adventure,"Adventure,Family,Fantasy"
30,Rockstar,"Drama,Music,Musical"
31,Saturday's Warrior,"Musical"
32,Ho Mann Jahaan,"Drama,Musical"
33,Go for It!,"Drama,Musical"
34,The Last Five Years,"Comedy,Drama,Musical"
35,Make Your Move,"Drama,Musical,Romance"
36,Beloved,"Drama,Musical,Romance"
37,God Help the Girl,"Drama,Musical,Romance"
38,ABCD (Any Body Can Dance),"Drama,Musical"
39,Tian tai ai qing,"Action,Comedy,Drama"
40,Córki dancingu,"Comedy,Drama,Horror"
41,The Worst Movie Ever!,"Action,Comedy,Musical"
42,Stage Fright,"Horror,Musical"
43,The Ghastly Love of Johnny X,"Comedy,Fantasy,Musical"
44,Coco,"Animation,Adventure,Comedy"
45,The Greatest Showman,"Biography,Drama,Musical"
46,Leap!,"Animation,Adventure,Comedy"
47,My Little Pony: The Movie,"Animation,Adventure,Comedy"
48,London Road,"Adventure,Musical,Mystery"
49,Michael Bolton's Big, Sexy Valentine's Day Special,"Comedy,Music,Musical"
50,Basmati Blues,"Comedy,Musical,Romance"
51,Happy New Year,"Action,Comedy,Crime"
52,Shrek the Musical,"Comedy,Family,Fantasy"
53,Mirzya,"Drama,Musical,Romance"
54,Disney's Newsies the Broadway Musical,"Musical"
55,Walking on Sunshine,"Musical,Romance"
56,Miss Saigon: 25th Anniversary,"Musical"
57,Country Crush,"Drama,Family,Music"
58,Charming,"Animation,Comedy,Musical"
59,Straight Outta Oz,"Musical"
60,Bang Bang Baby,"Drama,Musical,Sci-Fi"
61,Sunshine on Leith,"Comedy,Drama,Musical"
62,A Very Murray Christmas,"Comedy,Music,Musical"
63,Jagga Jasoos,"Action,Adventure,Comedy"
64,The Phantom of the Opera at the Royal Albert Hall,"Drama,Music,Musical"
65,Jack et la mécanique du coeur,"Animation,Adventure,Drama"
66,My Little Pony: Equestria Girls - Rainbow Rocks,"Animation,Adventure,Comedy"
67,My Little Pony: Equestria Girls - Legend of Everfree,"Animation,Comedy,Family"
68,Love Never Dies,"Drama,Music,Musical"
69,The Dust Storm,"Drama,Musical,Romance"
70,Sarbjit,"Biography,Drama,History"
71,Bibi & Tina: Tohuwabohu total,"Adventure,Comedy,Drama"
72,Something Like Summer,"Drama,Musical,Romance"
73,Coco,"Drama,Musical"
74,Rocky Horror Show Live,"Comedy,Musical,Sci-Fi"
75,Imaginaerum,"Drama,Fantasy,Musical"
76,Opening Night,"Comedy,Musical"
77,Billy Elliot,"Comedy,Drama,Music"
78,Buttons,"Musical"
79,The Devil's Violinist,"Biography,Drama,Musical"
80,Alleluia! The Devil's Carnival,"Horror,Musical"
81,The Devil's Carnival,"Horror,Musical"
82,Liberty's Secret,"Comedy,Musical,Romance"
83,1 - Nenokkadine,"Action,Musical,Mystery"
84,College Musical,"Musical"
85,Tokyo Tribe,"Action,Comedy,Musical"
86,Aashiqui 2,"Drama,Music,Musical"
87,Hello Again,"Drama,Music,Musical"
88,Dancin': It's On!,"Family,Musical,Romance"
89,Any Body Can Dance 2,"Musical"
90,Banjo,"Action,Drama,Musical"
91,Girltrash: All Night Long,"Comedy,Crime,Drama"
92,Delhi Safari,"Animation,Adventure,Comedy"
93,Laali Ki Shaadi Mein Laddoo Deewana,"Comedy,Drama,Musical"
94,Ustad Hotel,"Comedy,Drama,Musical"
95,King of the Dancehall,"Drama,Musical"
96,Janaan,"Drama,Musical,Romance"
97,Jigarthanda,"Action,Crime,Drama"
98,Caught on Tape,"Crime,Musical"
99,Becks,"Drama,Musical,Romance"
100,The Reef 2: High Tide,"Animation,Family,Musical"
101,Le magasin des suicides,"Animation,Comedy,Musical"
102,Bizarre,"Drama,Musical,Romance"
103,The Keys of Christmas,"Comedy,Musical"
104,Company,"Comedy,Drama,Musical"
105,Cerca de tu casa,"Drama,Musical"
106,The Swan Princess: Princess Tomorrow, Pirate Today!,"Animation,Adventure,Comedy"
107,Amapola,"Comedy,Drama,Fantasy"
108,Thomas & Friends: The Great Race,"Animation,Family,Musical"
109,The Harry Hill Movie,"Comedy,Musical"
110,Battlefield America,"Drama,Musical"
111,Madea's Neighbors from Hell,"Comedy,Drama,Musical"
112,Our RoboCop Remake,"Animation,Action,Comedy"
113,Summer Forever,"Musical"
114,Office,"Comedy,Musical,Romance"
115,Jawani Phir Nahi Ani,"Adventure,Comedy,Musical"
116,Katyar Kaljat Ghusali,"Musical"
117,Bazodee,"Drama,Musical,Romance"
118,Goddess,"Comedy,Musical,Romance"
119,Thirsty,"Biography,Drama,Musical"
120,Charlie,"Drama,Musical,Thriller"
121,EMO the Musical,"Comedy,Family,Music"
122,Scooby-Doo! Music of the Vampire,"Animation,Adventure,Family"
123,Bezubaan Ishq,"Musical"
124,Deiva Thirumagal,"Drama,Family,Musical"
125,Swan Lake 3D - Live from the Mariinsky Theatre,"Drama,Family,Fantasy"
126,Revival!,"Musical"
127,Step Up China,"Musical"
128,M.A.D: Mad About Dance,"Drama,Musical"
129,Waiting in the Wings: The Musical,"Comedy,Music,Musical"
130,Looney Tunes: Rabbits Run,"Animation,Adventure,Comedy"
131,52Hz, I Love You,"Comedy,Musical,Romance"
132,I, Me aur Main,"Comedy,Drama,Musical"
133,Casanova Variations,"Biography,Drama,Fantasy"
134,Tie the Knot,"Comedy,Drama,Family"
135,Jamie and Jessie Are Not Together,"Comedy,Musical,Romance"
136,Uilenbal,"Family,Musical"
137,Super Singh,"Action,Comedy,Fantasy"
138,The Jungle Book: Make-A-Wish,"Animation,Drama,Musical"
139,Anarkali,"Drama,Musical,Romance"
140,The Cocksure Lads Movie,"Comedy,Drama,Musical"
141,Stuck,"Drama,Musical"
142,Killer Rack,"Comedy,Horror,Musical"
143,Kaanchi,"Drama,Musical,Romance"
144,The Commitments,"Comedy,Drama,Musical"
145,The Princess Twins of Legendale,"Animation,Adventure,Family"
146,Rabu & Pîsu,"Comedy,Drama,Musical"
147,Kismath,"Drama,Musical,Romance"
148,September 12th,"Drama,Musical"
149,Sironia,"Drama,Musical"
150,Manifest Destiny: The Lewis & Clark Musical Adventure,"Adventure,Comedy,Musical"
151,Jaatishwar,"Biography,Drama,History"
152,Dancing for My Havana,"Drama,Music,Musical"
153,Mr. Rudolpho's Jubilee,"Comedy,Music,Musical"
154,As Jy Sing,"Comedy,Drama,Musical"
155,Dulhan Chahi Pakistan Se,"Action,Drama,Family"
156,Descendentes: O Destino dos Irmãos,"Adventure,Comedy,Fantasy"
157,Main Hoon Shahid Afridi,"Drama,Musical,Sport"
158,Easter Mysteries,"Musical"
159,Adaraneeya Kathawak,"Musical"
160,Tharai Thappattai,"Action,Drama,Musical"
161,Saturday Church,"Drama,Fantasy,Musical"
162,1920 Bitwa Warszawska,"Drama,History,Musical"
163,Surat dari Praha,"Drama,Musical,Romance"
164,Breaking Legs,"Family,Musical"
165,The Swan Princess Christmas,"Animation,Family,Fantasy"
166,Still Waiting In The Wings,"Musical"
167,Spies Are Forever,"Musical"
168,Mallu Singh,"Comedy,Musical,Thriller"
169,George Takei's Allegiance,"Musical"
170,Divine Will,"Drama,Musical"
171,Locos de Amor,"Comedy,Musical"
172,Thattathin Marayathu,"Drama,Musical,Romance"
173,Cherry Pop,"Comedy,Musical"
174,Everything is Broken up and Dances,"Comedy,Drama,Music"
175,Amen,"Drama,Musical,Romance"
176,Onna no kappa,"Drama,Fantasy,Musical"
177,Jodi Breakers,"Comedy,Musical,Romance"
178,Comment c'est loin,"Comedy,Musical"
179,A Canção de Lisboa,"Comedy,Musical,Romance"
180,Bodo,"Musical"
181,Year After Year,"Comedy,Drama,Musical"
182,Volando Bajo,"Comedy,Drama,Musical"
183,Footnotes,"Comedy,Musical"
184,Adventures Into the Woods: A Sexy Musical,"Comedy,Fantasy,Musical"
185,Mama I Want to Sing,"Musical"
186,Groove,"Drama,Music,Musical"
187,Mutthi Bhar Sapne,"Drama,Musical"
188,OJ: The Musical,"Comedy,Musical"
189,Ai to makoto,"Musical,Romance"
190,Happy Yummy Chicken,"Comedy,Musical"
191,Darpan Chhaya 2,"Drama,Musical"
192,Lucky Stiff,"Comedy,Musical"
193,Rajanna,"Action,Drama,History"
194,Desi Munde,"Musical"
195,Strike!,"Drama,History,Musical"
196,Leave It on the Floor,"Comedy,Drama,Musical"
197,Dolly Deadly 2,"Horror,Musical"
198,La llamada,"Musical"
199,You, Me & The Circus,"Musical"
200,Blue Mountains,"Drama,Family,Musical"
